date,code,action,price,shares,amount,fee
2024-10-14,600030,TAKE_PROFIT,27.97,100,2797.0,6.43
2024-10-14,601318,TAKE_PROFIT,58.39,100,5839.0,7.98
2024-10-14,000333,TAKE_PROFIT,77.03,100,7703.0,8.93
2024-10-14,603259,TAKE_PROFIT,51.95,100,5195.0,7.65
2024-10-14,600276,BUY,50.5,400,20200.0,5.25
2024-10-14,300750,BUY,249.99,200,49998.0,13.0
2024-10-14,002594,BUY,300.99,200,60198.0,15.65
2024-10-14,000001,BUY,11.98,300,3594.0,5.04
2024-10-14,000858,BUY,151.0,400,60400.0,15.7
2024-10-14,000725,BUY,4.21,2000,8420.0,5.08
2024-10-15,600030,TAKE_PROFIT,27.0,100,2700.0,6.38
2024-10-15,603259,TAKE_PROFIT,51.92,100,5192.0,7.65
2024-10-15,002594,BUY,305.5,200,61100.0,15.89
2024-10-15,300750,BUY,249.81,200,49962.0,12.99
2024-10-16,002594,BUY,293.0,100,29300.0,7.62
2024-10-16,000333,BUY,74.7,800,59760.0,15.54
2024-10-17,000333,BUY,75.24,800,60192.0,15.65
2024-10-17,603259,BUY,49.3,700,34510.0,8.98
2024-10-18,603259,BUY,47.8,100,4780.0,5.05
