date,code,action,price,shares,amount,fee
2024-12-17,601857,BUY,8.43,7400,62382.0,16.22
2024-12-17,000333,BUY,73.2,800,58560.0,15.23
2024-12-20,000858,EXIT,143.7,1300,186810.0,141.97
2024-12-20,600900,BUY,29.21,4300,125603.0,32.66
2024-12-23,600900,BUY,29.19,2100,61299.0,15.93
2024-12-24,601857,BUY,8.54,400,3416.0,5.03
2024-12-30,000725,EXIT,4.36,45700,199252.0,151.43
2024-12-30,000333,BUY,75.0,800,60000.0,15.6
2024-12-30,601857,BUY,8.92,7000,62440.0,16.23
2024-12-31,603259,BUY,56.08,100,5608.0,5.06
2024-12-31,000333,BUY,75.1,800,60080.0,15.62
2024-12-31,601857,BUY,9.02,1200,10824.0,5.11
2024-12-31,000725,BUY,4.44,100,444.0,5.0
2025-01-02,600030,EXIT,28.98,100,2898.0,6.48
2025-01-02,300750,REDUCE,266.25,200,53250.0,40.46
2025-01-02,601857,BUY,8.91,3700,32967.0,8.57
2025-01-02,000333,BUY,75.4,100,7540.0,5.08
2025-01-03,300750,REDUCE,258.78,200,51756.0,39.34
2025-01-03,000725,EXIT,4.24,100,424.0,5.21
2025-01-08,300750,EXIT,245.99,200,49198.0,37.39
2025-01-08,603259,EXIT,52.16,3400,177344.0,134.78
2025-01-08,000001,EXIT,11.5,16300,187450.0,142.46
2025-01-15,603259,BUY,54.9,2200,120780.0,31.41
2025-01-17,603259,EXIT,53.22,2200,117084.0,88.98
2025-01-21,603259,BUY,56.03,2200,123266.0,32.05
2025-01-21,300750,BUY,268.5,400,107400.0,27.92
2025-01-22,603259,BUY,55.28,1100,60808.0,15.81
2025-01-22,000725,BUY,4.49,27300,122577.0,31.87
2025-01-23,601857,EXIT,8.26,21200,175112.0,133.09
2025-02-06,300750,EXIT,251.0,400,100400.0,76.3
2025-02-10,002594,BUY,326.91,300,98073.0,25.5
2025-02-11,000333,EXIT,73.44,2500,183600.0,139.54
2025-02-12,002594,BUY,327.5,100,32750.0,8.52
2025-02-12,000725,BUY,4.51,13300,59983.0,15.6
2025-02-13,002594,BUY,341.2,100,34120.0,8.87
2025-02-14,000725,BUY,4.49,200,898.0,5.01
2025-02-14,300750,BUY,261.53,400,104612.0,27.2
2025-02-17,000725,BUY,4.59,100,459.0,5.0
2025-02-18,000725,BUY,4.58,100,458.0,5.0
2025-02-18,000001,BUY,11.76,10600,124656.0,32.41
2025-02-19,600900,EXIT,28.26,6400,180864.0,137.46
2025-02-19,000725,BUY,4.54,600,2724.0,5.03
2025-02-20,000725,BUY,4.49,400,1796.0,5.02
2025-02-21,000725,BUY,4.49,200,898.0,5.01
2025-02-24,603259,TAKE_PROFIT,67.2,1600,107520.0,81.72
2025-02-24,300750,BUY,273.01,200,54602.0,14.2
2025-02-24,000725,BUY,4.56,400,1824.0,5.02
2025-02-24,600276,BUY,48.4,2600,125840.0,32.72
2025-02-25,603259,BUY,61.7,1000,61700.0,16.05
2025-02-25,601318,BUY,51.5,1900,97850.0,25.44
2025-02-26,000001,EXIT,11.47,10600,121582.0,92.41
2025-02-26,603259,BUY,63.0,300,18900.0,5.19
2025-02-28,000001,BUY,11.58,9200,106536.0,27.7
2025-03-03,601318,EXIT,50.55,1900,96045.0,72.99
2025-03-04,000001,EXIT,11.47,9200,105524.0,80.2
2025-03-06,000001,BUY,11.69,10500,122745.0,31.92
2025-03-07,000001,BUY,11.63,5300,61639.0,16.03
2025-03-10,300750,EXIT,261.8,600,157080.0,119.38
2025-03-10,000001,BUY,11.66,200,2332.0,5.02
2025-03-11,600276,EXIT,45.05,2600,117130.0,89.01
2025-03-12,000858,BUY,135.3,900,121770.0,31.66
2025-03-17,600036,TAKE_PROFIT,45.32,2500,113300.0,86.1
2025-03-17,000725,EXIT,4.42,42600,188292.0,143.1
2025-03-17,601318,BUY,53.47,2300,122981.0,31.98
2025-03-17,600276,BUY,47.32,2700,127764.0,33.22
2025-03-18,600036,TAKE_PROFIT,45.29,1200,54348.0,41.3
2025-03-18,000001,EXIT,11.52,16000,184320.0,140.08
2025-03-19,600036,TAKE_PROFIT,45.28,600,27168.0,20.64
2025-03-19,600276,BUY,46.52,1300,60476.0,15.72
2025-03-20,600036,TAKE_PROFIT,45.92,300,13776.0,12.03
2025-03-20,603259,TAKE_PROFIT,70.01,1500,105015.0,79.81
2025-03-20,600276,BUY,47.2,100,4720.0,5.05
2025-03-20,601318,BUY,54.05,1200,64860.0,16.86
2025-03-20,300750,BUY,265.39,400,106156.0,27.6
2025-03-20,000333,BUY,76.4,1700,129880.0,33.77
2025-03-21,600036,TAKE_PROFIT,45.12,200,9024.0,9.6
2025-03-21,603259,TAKE_PROFIT,69.16,700,48412.0,36.79
2025-03-21,002594,TAKE_PROFIT,393.01,200,78602.0,59.74
2025-03-21,000858,BUY,135.7,400,54280.0,14.11
2025-03-21,600585,BUY,24.67,5200,128284.0,33.35
2025-03-24,600036,TAKE_PROFIT,44.55,100,4455.0,7.27
2025-03-24,600276,EXIT,44.86,4100,183926.0,139.78
2025-03-24,300750,EXIT,257.7,400,103080.0,78.34
2025-03-24,002594,BUY,377.0,100,37700.0,9.81
2025-03-24,603259,BUY,67.02,900,60318.0,15.68
2025-03-24,600585,BUY,24.87,2400,59688.0,15.52
2025-03-24,000858,BUY,134.06,100,13406.0,5.13
2025-03-25,603259,BUY,67.33,900,60597.0,15.76
2025-03-25,002594,BUY,377.98,100,37798.0,9.83
2025-03-26,603259,BUY,66.59,200,13318.0,5.13
2025-03-26,600585,BUY,24.37,100,2437.0,5.02
2025-03-27,600276,BUY,46.08,2700,124416.0,32.34
2025-03-28,600276,BUY,48.39,1200,58068.0,15.1
