date,code,action,price,shares,amount,fee
2024-06-11,300750,EXIT,189.0,1600,302400.0,229.82
2024-06-11,002594,BUY,234.63,800,187704.0,48.81
2024-06-11,600900,BUY,28.32,4000,113280.0,29.45
2024-06-12,600036,EXIT,33.35,9600,320160.0,243.32
2024-06-12,002594,BUY,241.63,400,96652.0,25.13
2024-06-12,600900,BUY,28.08,3600,101088.0,26.28
2024-06-13,600900,BUY,28.39,3300,93687.0,24.36
2024-06-17,000001,EXIT,10.13,28800,291744.0,221.73
2024-06-18,600900,BUY,27.89,100,2789.0,5.03
2024-06-19,601857,EXIT,9.76,9200,89792.0,68.25
