date,code,action,price,shares,amount,fee
2024-11-25,600585,BUY,25.3,4800,121440.0,31.57
2024-11-26,300750,BUY,261.57,200,52314.0,13.6
2024-12-05,000333,BUY,71.6,1500,107400.0,27.92
2024-12-06,000333,BUY,71.78,100,7178.0,5.07
2024-12-11,600276,EXIT,47.86,3900,186654.0,141.86
2024-12-11,601318,BUY,55.61,1100,61171.0,15.9
2024-12-11,603259,BUY,57.49,1100,63239.0,16.44
2024-12-11,600030,BUY,31.43,1900,59717.0,15.53
2024-12-12,000001,BUY,11.73,100,1173.0,5.01
2024-12-16,601318,EXIT,53.71,1600,85936.0,65.31
2024-12-16,603259,BUY,56.21,800,44968.0,11.69
2024-12-16,600585,BUY,26.01,1600,41616.0,10.82
2024-12-16,000001,BUY,11.56,100,1156.0,5.01
2024-12-17,600585,EXIT,24.75,6400,158400.0,120.38
2024-12-17,000333,BUY,73.2,800,58560.0,15.23
2024-12-17,600036,BUY,37.54,2600,97604.0,25.38
2024-12-17,601857,BUY,8.43,200,1686.0,5.02
2024-12-20,000858,EXIT,143.7,1200,172440.0,131.05
2024-12-20,600036,BUY,38.05,1600,60880.0,15.83
2024-12-20,600900,BUY,29.21,3700,108077.0,28.1
2024-12-23,600900,BUY,29.19,100,2919.0,5.03
2024-12-24,601857,BUY,8.54,100,854.0,5.01
2024-12-30,000725,EXIT,4.36,45200,197072.0,149.78
2024-12-30,600900,BUY,29.61,2100,62181.0,16.17
2024-12-30,601857,BUY,8.92,7000,62440.0,16.23
2024-12-30,600036,BUY,39.34,500,19670.0,5.2
2024-12-31,000333,BUY,75.1,100,7510.0,5.08
2024-12-31,601857,BUY,9.02,4900,44198.0,11.49
2025-01-02,600030,EXIT,28.98,2000,57960.0,44.05
2025-01-02,300750,REDUCE,266.25,200,53250.0,40.46
2025-01-02,601857,BUY,8.91,7000,62370.0,16.21
2025-01-02,600900,BUY,29.51,400,11804.0,5.12
2025-01-03,300750,REDUCE,258.78,200,51756.0,39.34
2025-01-03,601857,BUY,8.81,1700,14977.0,5.15
2025-01-08,300750,EXIT,245.99,200,49198.0,37.39
2025-01-08,603259,EXIT,52.16,3300,172128.0,130.81
2025-01-08,000001,EXIT,11.5,16300,187450.0,142.46
2025-01-21,603259,BUY,56.03,2100,117663.0,30.6
2025-01-22,603259,BUY,55.28,1100,60808.0,15.81
2025-01-23,601857,EXIT,8.26,20900,172634.0,131.21
2025-02-11,000333,EXIT,73.44,2500,183600.0,139.54
2025-02-12,002594,BUY,327.5,300,98250.0,25.54
2025-02-12,000725,BUY,4.51,26800,120868.0,31.43
2025-02-13,002594,BUY,341.2,100,34120.0,8.87
2025-02-14,002594,BUY,341.52,100,34152.0,8.88
2025-02-14,000725,BUY,4.49,13500,60615.0,15.76
2025-02-17,000725,BUY,4.59,300,1377.0,5.01
2025-02-19,600900,EXIT,28.26,6300,178038.0,135.31
2025-02-19,000725,BUY,4.54,600,2724.0,5.03
2025-02-20,000725,BUY,4.49,400,1796.0,5.02
2025-02-21,000725,BUY,4.49,200,898.0,5.01
2025-02-24,603259,TAKE_PROFIT,67.2,1600,107520.0,81.72
2025-02-24,000725,BUY,4.56,400,1824.0,5.02
2025-02-24,300750,BUY,273.01,400,109204.0,28.39
2025-02-25,603259,BUY,61.7,1000,61700.0,16.05
2025-02-25,300750,BUY,267.48,200,53496.0,13.9
2025-02-26,603259,BUY,63.0,400,25200.0,6.55
2025-03-07,000001,BUY,11.63,10700,124441.0,32.35
2025-03-10,300750,EXIT,261.8,600,157080.0,119.38
2025-03-10,000001,BUY,11.66,5300,61798.0,16.07
2025-03-11,000001,BUY,11.54,100,1154.0,5.01
2025-03-17,600036,TAKE_PROFIT,45.32,2300,104236.0,79.22
2025-03-17,000725,EXIT,4.42,42200,186524.0,141.76
2025-03-17,601318,BUY,53.47,2300,122981.0,31.98
2025-03-17,600276,BUY,47.32,2700,127764.0,33.22
2025-03-18,600036,TAKE_PROFIT,45.29,1200,54348.0,41.3
2025-03-18,000001,EXIT,11.52,16100,185472.0,140.96
2025-03-19,600036,TAKE_PROFIT,45.28,600,27168.0,20.64
2025-03-19,600276,BUY,46.52,1300,60476.0,15.72
2025-03-20,600036,TAKE_PROFIT,45.92,300,13776.0,12.03
2025-03-20,603259,TAKE_PROFIT,70.01,1500,105015.0,79.81
2025-03-20,600276,BUY,47.2,100,4720.0,5.05
2025-03-20,601318,BUY,54.05,1200,64860.0,16.86
2025-03-21,600036,TAKE_PROFIT,45.12,100,4512.0,7.31
2025-03-21,603259,TAKE_PROFIT,69.16,700,48412.0,36.79
2025-03-21,002594,TAKE_PROFIT,393.01,200,78602.0,59.74
2025-03-21,000858,BUY,135.7,900,122130.0,31.75
2025-03-24,600276,EXIT,44.86,4100,183926.0,139.78
2025-03-24,600036,BUY,44.55,1400,62370.0,16.21
2025-03-24,002594,BUY,377.0,100,37700.0,9.81
2025-03-24,603259,BUY,67.02,900,60318.0,15.68
2025-03-24,000858,BUY,134.06,400,53624.0,13.95
2025-03-24,600585,BUY,24.87,5100,126837.0,32.98
2025-03-25,600036,BUY,45.0,1400,63000.0,16.38
2025-03-25,603259,BUY,67.33,900,60597.0,15.76
2025-03-25,600585,BUY,24.6,2500,61500.0,16.0
2025-03-25,002594,BUY,377.98,100,37798.0,9.83
2025-03-25,000858,BUY,134.6,100,13460.0,5.13
2025-03-26,600036,BUY,44.5,1200,53400.0,13.88
2025-03-26,603259,BUY,66.59,200,13318.0,5.13
2025-03-26,600585,BUY,24.37,200,4874.0,5.05
2025-03-28,600276,BUY,48.39,2600,125814.0,32.71
2025-03-31,600276,BUY,48.98,400,19592.0,5.2
2025-04-01,000858,EXIT,131.43,1400,184002.0,139.84
2025-04-01,600276,BUY,49.2,800,39360.0,10.23
2025-04-01,000333,BUY,78.1,1600,124960.0,32.49
2025-04-08,600036,EXIT,40.78,4200,171276.0,130.17
2025-04-08,603259,STOP_LOSS,58.08,2800,162624.0,123.6
2025-04-08,002594,STOP_LOSS,321.76,500,160880.0,122.27
2025-04-08,601318,STOP_LOSS,48.55,3500,169925.0,129.14
2025-04-08,000333,STOP_LOSS,68.0,1600,108800.0,82.69
2025-04-15,600900,BUY,29.08,4000,116320.0,30.24
2025-04-16,600900,BUY,29.25,2000,58500.0,15.21
2025-04-24,002594,BUY,372.48,300,111744.0,29.06
2025-04-25,002594,BUY,370.0,100,37000.0,9.62
2025-04-30,002594,EXIT,354.9,400,141960.0,107.89
2025-05-09,600036,BUY,42.8,2700,115560.0,30.05
2025-05-12,002594,BUY,365.0,300,109500.0,28.48
2025-05-13,600585,EXIT,23.84,7800,185952.0,141.33
2025-05-13,002594,BUY,376.0,100,37600.0,9.78
2025-05-13,600036,BUY,44.09,1300,57317.0,14.9
2025-05-13,601857,BUY,8.16,14300,116688.0,30.34
2025-05-14,601857,BUY,8.22,7100,58362.0,15.17
2025-05-14,000333,BUY,76.9,1500,115350.0,29.99
2025-05-15,000333,BUY,76.66,700,53662.0,13.96
2025-05-16,000333,BUY,76.21,100,7621.0,5.08
2025-05-16,601857,BUY,8.25,200,1650.0,5.02
2025-05-16,601318,BUY,54.05,2200,118910.0,30.92
2025-05-19,601857,BUY,8.15,300,2445.0,5.02
2025-05-21,601857,BUY,8.23,100,823.0,5.01
2025-05-26,601857,BUY,8.19,100,819.0,5.01
2025-05-29,002594,EXIT,359.59,400,143836.0,109.32
2025-05-29,600036,BUY,43.7,100,4370.0,5.04
2025-05-29,601318,BUY,53.3,1100,58630.0,15.25
2025-05-29,603259,BUY,61.85,1300,80405.0,20.9
2025-05-30,000001,BUY,11.47,200,2294.0,5.02
2025-06-13,000333,EXIT,71.6,2300,164680.0,125.16
2025-06-13,603259,BUY,67.71,800,54168.0,14.08
2025-06-13,000001,BUY,11.68,5100,59568.0,15.49
2025-06-16,603259,BUY,67.85,500,33925.0,8.82
2025-06-17,000001,BUY,11.79,1400,16506.0,5.17
2025-06-25,000725,BUY,3.94,200,788.0,5.01
2025-06-30,600276,REDUCE,51.91,1900,98629.0,74.96
2025-06-30,000001,BUY,12.14,4900,59486.0,15.46
2025-06-30,000725,BUY,3.98,9700,38606.0,10.04
2025-07-01,600276,EXIT,51.89,1900,98591.0,74.94
2025-07-01,000001,BUY,12.06,3300,39798.0,10.35
2025-07-01,000725,BUY,4.0,14500,58000.0,15.08
2025-07-02,000725,BUY,3.99,300,1197.0,5.01
2025-07-14,603259,TAKE_PROFIT,77.5,1300,100750.0,76.58
2025-07-14,000725,BUY,4.05,15300,61965.0,16.11
2025-07-14,600900,BUY,30.42,100,3042.0,5.03
2025-07-14,600276,BUY,56.75,600,34050.0,8.85
2025-07-15,603259,TAKE_PROFIT,78.94,600,47364.0,35.99
2025-07-15,600276,BUY,57.25,800,45800.0,11.91
